# Performance Monitoring Events for Intel Xeon Processors Based on the Skylake Microarchitecture - V1.22
# 3/27/2020 4:07:25 PM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
UNIT	CODE	UMASK	PORT_MASK	FC_MASK	UMASK_EXT	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL	FILTER_VALUE	EVENT_STATUS
M3UPI	0x27	0x10	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_CYCLES_NE.VN1_REQ	AD Flow Q Not Empty; VN1 REQ Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x27	0x20	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_CYCLES_NE.VN1_SNP	AD Flow Q Not Empty; VN1 SNP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x27	0x40	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_CYCLES_NE.VN1_RSP	AD Flow Q Not Empty; VN1 RSP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x27	0x80	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_CYCLES_NE.VN1_WB	AD Flow Q Not Empty; VN1 WB Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x28	0x01	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_CYCLES_NE.VN0_REQ	BL Flow Q Not Empty; VN0 REQ Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x28	0x02	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_CYCLES_NE.VN0_SNP	BL Flow Q Not Empty; VN0 SNP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x28	0x04	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_CYCLES_NE.VN0_RSP	BL Flow Q Not Empty; VN0 RSP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x28	0x08	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_CYCLES_NE.VN0_WB	BL Flow Q Not Empty; VN0 WB Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x28	0x10	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_CYCLES_NE.VN1_REQ	BL Flow Q Not Empty; VN1 REQ Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x28	0x20	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_CYCLES_NE.VN1_SNP	BL Flow Q Not Empty; VN1 SNP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x28	0x40	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_CYCLES_NE.VN1_RSP	BL Flow Q Not Empty; VN1 RSP Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x28	0x80	0x00	0x00	0x00	UNC_M3UPI_TxC_BL_FLQ_CYCLES_NE.VN1_WB	BL Flow Q Not Empty; VN1 WB Messages	0,1,2	0x53	na	0	0	0x00
M3UPI	0x2A	0x0	0x00	0x00	0x00	UNC_M3UPI_D2U_SENT	D2U Sent	0,1,2	0x53	na	0	0	0x00
M3UPI	0x2B	0x00	0x00	0x00	0x00	UNC_M3UPI_D2C_SENT	D2C Sent	0,1,2	0x53	na	0	0	0x00
M3UPI	0x2C	0x01	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_BYPASS.AD_SLOT0	AD FlowQ Bypass	0,1,2	0x53	na	0	0	0x00
M3UPI	0x2C	0x02	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_BYPASS.AD_SLOT1	AD FlowQ Bypass	0,1,2	0x53	na	0	0	0x00
M3UPI	0x2C	0x04	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_BYPASS.AD_SLOT2	AD FlowQ Bypass	0,1,2	0x53	na	0	0	0x00
M3UPI	0x2C	0x08	0x00	0x00	0x00	UNC_M3UPI_TxC_AD_FLQ_BYPASS.BL_EARLY_RSP	AD FlowQ Bypass	0,1,2	0x53	na	0	0	0x00
