HELP_ID	CODE	UMASK	OTHER	COMMON	WEIGHT	COUNTER	NAME	DESCRIPTION	HELP_FILE	OVERFLOW	SAV_LOWER_LIMIT	PRECISE_EVENT	LATENCY	MSR_INDEX	MSR_VALUE	LBR_VALUE	DEFAULT	UNCORE_QUEUE_RESET	UNCORE	MIN_STEP	EM TRIGGER
0x10017	0x8	0x4	0x53	0x100	0	0,1,2,3	DTLB_LOAD_MISSES.WALK_CYCLES	DTLB load miss page walk cycles	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10018	0x49	0x1	0x53	0x100	0	0,1,2,3	DTLB_MISSES.ANY	DTLB misses	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10018	0x49	0x80	0x53	0x100	0	0,1,2,3	DTLB_MISSES.LARGE_WALK_COMPLETED	DTLB miss large page walks	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10018	0x49	0x10	0x53	0x100	0	0,1,2,3	DTLB_MISSES.STLB_HIT	DTLB first level misses but second level hit	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10018	0x49	0x2	0x53	0x100	0	0,1,2,3	DTLB_MISSES.WALK_COMPLETED	DTLB miss page walks	pmw_sp.chm	200000	0	0	0	0	0	0	0	0	0	0	0
0x10018	0x49	0x4	0x53	0x100	0	0,1,2,3	DTLB_MISSES.WALK_CYCLES	DTLB miss page walk cycles	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10019	0x4F	0x10	0x53	0x100	0	0,1,2,3	EPT.WALK_CYCLES	Extended Page Table walk cycles	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001A	0xD5	0x1	0x53	0x4	0	0,1,2,3	ES_REG_RENAMES	ES segment renames	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001B	0xF7	0x1	0x53	0x20	0	0,1,2,3	FP_ASSIST.ALL	X87 Floating point assists (Precise Event)	pmw_sp.chm	20000	0	1	0	0	0	0	0	0	0	0	0
0x1001B	0xF7	0x4	0x53	0x20	0	0,1,2,3	FP_ASSIST.INPUT	X87 Floating poiint assists for invalid input value (Precise Event)	pmw_sp.chm	20000	0	1	0	0	0	0	0	0	0	0	0
0x1001B	0xF7	0x2	0x53	0x20	0	0,1,2,3	FP_ASSIST.OUTPUT	X87 Floating point assists for invalid output value (Precise Event)	pmw_sp.chm	20000	0	1	0	0	0	0	0	0	0	0	0
