# Performance Monitoring Events for Intel Xeon Processors Based on the Skylake Microarchitecture - V1.22
# 3/27/2020 4:07:25 PM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
UNIT	CODE	UMASK	PORT_MASK	FC_MASK	UMASK_EXT	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL	FILTER_VALUE	EVENT_STATUS
iMC	0x4	0x20	0x00	0x00	0x00	UNC_M_CAS_COUNT.RD_RMM	DRAM CAS (Column Address Strobe) Commands.; Read CAS issued in RMM	0,1,2,3	0x53	na	0	0	0x00
iMC	0x4	0x40	0x00	0x00	0x00	UNC_M_CAS_COUNT.RD_ISOCH	DRAM CAS (Column Address Strobe) Commands.; Read CAS issued in Read ISOCH Mode	0,1,2,3	0x53	na	0	0	0x00
iMC	0x4	0x8	0x00	0x00	0x00	UNC_M_CAS_COUNT.WR_RMM	DRAM CAS (Column Address Strobe) Commands.; DRAM WR_CAS (w/ and w/out auto-pre) in Read Major Mode	0,1,2,3	0x53	na	0	0	0x00
iMC	0x4	0x80	0x00	0x00	0x00	UNC_M_CAS_COUNT.WR_ISOCH	DRAM CAS (Column Address Strobe) Commands.; Read CAS issued in Write ISOCH Mode	0,1,2,3	0x53	na	0	0	0x00
iMC	0x41	0x1	0x00	0x00	0x00	UNC_M_POWER_THROTTLE_CYCLES.RANK0	Throttle Cycles for Rank 0; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x41	0x10	0x00	0x00	0x00	UNC_M_POWER_THROTTLE_CYCLES.RANK4	Throttle Cycles for Rank 0; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x41	0x2	0x00	0x00	0x00	UNC_M_POWER_THROTTLE_CYCLES.RANK1	Throttle Cycles for Rank 0; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x41	0x20	0x00	0x00	0x00	UNC_M_POWER_THROTTLE_CYCLES.RANK5	Throttle Cycles for Rank 0; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x41	0x4	0x00	0x00	0x00	UNC_M_POWER_THROTTLE_CYCLES.RANK2	Throttle Cycles for Rank 0; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x41	0x40	0x00	0x00	0x00	UNC_M_POWER_THROTTLE_CYCLES.RANK6	Throttle Cycles for Rank 0; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
